127.0.0.1, 2019-01-26 16:56:10, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.006332
127.0.0.1, 2019-01-26 16:56:10, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004179
127.0.0.1, 2019-01-26 16:56:10, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003819
127.0.0.1, 2019-01-26 16:57:36, GET, /init/default/student, HTTP/1.1, 200, 0.031718
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000854
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.000965
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000879
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004679
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.008712
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.009517
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.000757
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.001840
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001408
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.001795
127.0.0.1, 2019-01-26 16:57:36, GET, /init/static/images/favicon.png, HTTP/1.1, 200, 0.006474
127.0.0.1, 2019-01-26 16:58:08, GET, /init/default/student, HTTP/1.1, 200, 0.056923
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002271
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002082
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.013319
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.003794
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.013325
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003522
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.004511
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.027082
127.0.0.1, 2019-01-26 16:58:08, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.000960
127.0.0.1, 2019-01-26 16:58:23, GET, /init/default/student, HTTP/1.1, 200, 0.034855
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000723
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002528
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.003304
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002113
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.009560
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.017433
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.003241
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.014131
127.0.0.1, 2019-01-26 16:58:23, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.013255
127.0.0.1, 2019-01-26 16:58:53, GET, /init/default/student, HTTP/1.1, 200, 0.029371
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001483
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000634
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001531
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.006897
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.000980
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001526
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.001285
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.001669
127.0.0.1, 2019-01-26 16:58:53, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001453
127.0.0.1, 2019-01-26 17:01:24, GET, /init/default/student, HTTP/1.1, 200, 0.015400
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000663
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002063
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002441
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.001814
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.004059
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.003502
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.006401
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.008799
127.0.0.1, 2019-01-26 17:01:24, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.013121
127.0.0.1, 2019-01-26 17:01:30, GET, /init/static/css/bootstrap.min.css.map, HTTP/1.1, 200, 0.000595
127.0.0.1, 2019-01-26 17:02:06, GET, /init/default/student, HTTP/1.1, 200, 0.017215
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000568
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003558
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002195
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002020
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.001903
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.003055
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001810
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.005646
127.0.0.1, 2019-01-26 17:02:06, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001178
127.0.0.1, 2019-01-26 17:02:48, GET, /init/default/student, HTTP/1.1, 200, 0.016269
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000899
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002088
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.002168
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.001772
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.006200
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.006896
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001030
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000786
127.0.0.1, 2019-01-26 17:02:48, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.006881
127.0.0.1, 2019-01-26 17:02:55, POST, /init/default/student, HTTP/1.1, 200, 0.036802
